municipio,codigo,populacao,receita_total,op_credito,alienacao_bens,amortizacao_divida,outras_receitas_capital,juros_encargos_divida,prpc,prpcapita_max3k,eq1_prpcapita
Prefeitura Municipal de Triunfo - PE,2615706,15235,46062335.06,0,0,673972.87,0,32.78,2979.2144,2979.2144,5.9668632
Prefeitura Municipal de Tupanatinga - PE,2615805,26727,64275777.96,0,0,309903.05,0,0,2393.3054,2393.3054,5.0327945
Prefeitura Municipal de Tuparetama - PE,2615904,8159,31166182.08,0,12000,214396.94,0,0,3792.105,3000,6
Prefeitura Municipal de Venturosa - PE,2616001,18067,49121897.54,0,0,396919.01,0,35131.48,2694.9602,2694.9602,5.5136991
Prefeitura Municipal de Verdejante - PE,2616100,9471,31569680.1,0,0,295006.01,0,21123.06,3299.9209,3000,6
Prefeitura Municipal de Vertente do Lério - PE,2616183,7693,26903607.89,0,127827.3,35785.75,0,0,3475.8865,3000,6
Prefeitura Municipal de Vertentes - PE,2616209,20222,47771087.77,0,82700,743685.14,0,0,2321.4668,2321.4668,4.9182682
Prefeitura Municipal de Vicência - PE,2616308,32296,75904220.17,0,0,1967852.35,0,19810.84,2288.7217,2288.7217,4.866065
Prefeitura Municipal de Vitória de Santo Antão - PE,2616407,136706,321667499.44,0,0,1879621.38,0,0,2339.238,2339.238,4.9465995
Prefeitura Municipal de Xexéu - PE,2616506,14618,43720138.93,0,29703.97,694981.83,0,0,2941.2678,2941.2678,5.9063678
Prefeitura Municipal de Água Branca - AL,2700102,20422,52268815,0,0,384401,0,0,2540.6138,2540.6138,5.2676368
Prefeitura Municipal de Anadia - AL,2700201,17832,48818100.47,0,0,1203866.92,0,6703.72,2669.7808,2669.7808,5.4735575
Prefeitura Municipal de Arapiraca - AL,2700300,232671,593533245.6799999,0,0,3638086.13,0,2608014.85,2524.1099,2524.1099,5.2413259
Prefeitura Municipal de Atalaia - AL,2700409,47528,134158211.22,0,0,1706976.55,0,95323.14,2784.7986,2784.7986,5.6569214
Prefeitura Municipal de Barra de Santo Antônio - AL,2700508,16064,47033322.57,0,0,352996.48,0,60483.7,2902.1316,2902.1316,5.843976
Prefeitura Municipal de Barra de São Miguel - AL,2700607,8336,37641726.38,0,0,1274302.34,0,306322.42,4325.9478,3000,6
Prefeitura Municipal de Belo Monte - AL,2700904,6786,26817448.65,0,0,265679.72,0,0,3912.7275,3000,6
Prefeitura Municipal de Boca da Mata - AL,2701001,27498,78111044.90000001,0,45430.87,2080485.54,0,0,2763.2966,2763.2966,5.6226425
Prefeitura Municipal de Branquinha - AL,2701100,10709,38826005.67,0,0,56314.11,0,188105.95,3602.7253,3000,6
Prefeitura Municipal de Cacimbinhas - AL,2701209,10859,45292469.52,0,0,0,0,0,4170.9614,3000,6
Prefeitura Municipal de Cajueiro - AL,2701308,21443,69093139.31,0,0,783782.64,0,146708.43,3178.7832,3000,6
Prefeitura Municipal de Campestre - AL,2701357,7002,23059119.24,0,0,85930.03,0,0,3280.9468,3000,6
Prefeitura Municipal de Campo Alegre - AL,2701407,57008,146699882.84,0,0,7350425.4,0,158949.62,2441.5959,2441.5959,5.1097803
Prefeitura Municipal de Campo Grande - AL,2701506,9678,30735149.94,0,0,58098,0,858.88,3169.6831,3000,6
Prefeitura Municipal de Canapi - AL,2701605,17980,57455832.38,0,0,453018,0,69530.13,3166.4785,3000,6
Prefeitura Municipal de Capela - AL,2701704,17428,57042871.32,0,19101.2,794779.53,0,16000.24,3225.4412,3000,6
Prefeitura Municipal de Carneiros - AL,2701803,9065,33528516.27,0,0,237268.04,0,0,3672.5039,3000,6
Prefeitura Municipal de Chã Preta - AL,2701902,7424,26210570.22,0,0,261048.92,0,0,3495.3557,3000,6
Prefeitura Municipal de Coité do Nóia - AL,2702009,10939,34533264.23,0,0,216596.45,0,0,3137.0938,3000,6
Prefeitura Municipal de Colônia Leopoldina - AL,2702108,21786,58694254.23,0,0,590532.49,0,52548.9,2664.6091,2664.6091,5.465313
Prefeitura Municipal de Coqueiro Seco - AL,2702207,5895,32179464.87,0,0,235861.6,0,0,5418.7622,3000,6
Prefeitura Municipal de Coruripe - AL,2702306,57079,219628896.29,0,0,1881032.93,0,0,3814.8506,3000,6
Prefeitura Municipal de Craíbas - AL,2702355,24403,69211946.81999999,0,0,705868.63,0,0,2807.281,2807.281,5.6927633
Prefeitura Municipal de Delmiro Gouveia - AL,2702405,52306,125165720,0,0,1476577.62,0,189916.61,2361.0911,2361.0911,4.9814377
Prefeitura Municipal de Dois Riachos - AL,2702504,11219,37209819.21,0,0,318934.88,0,0,3288.2507,3000,6
Prefeitura Municipal de Estrela de Alagoas - AL,2702553,18373,45486771.88,0,0,619404.89,0,0,2442.0273,2442.0273,5.1104684
Prefeitura Municipal de Feira Grande - AL,2702603,22481,53770934.58,0,0,618227.78,0,0,2364.3391,2364.3391,4.9866161
Prefeitura Municipal de Feliz Deserto - AL,2702702,4777,20479063.98,0,0,285242.77,0,0,4227.3018,3000,6
Prefeitura Municipal de Girau do Ponciano - AL,2702900,40912,112870612.43,0,0,619868.7,0,4780.59,2743.5952,2743.5952,5.5912342
Prefeitura Municipal de Ibateguara - AL,2703007,15822,41801715.56,0,0,532184.46,0,0,2608.3638,2608.3638,5.3756452
Prefeitura Municipal de Igaci - AL,2703106,26031,67830002.7,0,0,1584124.57,0,14423.77,2544.3301,2544.3301,5.2735615
Prefeitura Municipal de Igreja Nova - AL,2703205,24687,64205040.49,0,0,851433.64,0,1116.38,2566.2288,2566.2288,5.3084726
Prefeitura Municipal de Inhapi - AL,2703304,18637,54846039.12,0,0,232851.15,0,0,2930.3638,2930.3638,5.8889847
Prefeitura Municipal de Jacaré dos Homens - AL,2703403,5391,28860614.73,0,0,61973.08,0,0,5341.9849,3000,6
Prefeitura Municipal de Jacuípe - AL,2703502,7148,26998496.47,0,0,187372.73,0,0,3750.8567,3000,6
Prefeitura Municipal de Japaratinga - AL,2703601,8403,25641908.67,0,0,29416.19,0,2195.82,3047.7563,3000,6
Prefeitura Municipal de Jaramataia - AL,2703700,5685,25886983.13,0,0,143895.94,0,6981.68,4527.0195,3000,6
Prefeitura Municipal de Jequiá da Praia - AL,2703759,11824,48948902.1,0,0,443285.51,0,0,4102.3018,3000,6
Prefeitura Municipal de Joaquim Gomes - AL,2703809,24174,52594506.82,1117800,0,718640.47,0,260938.92,2088.9023,2088.9023,4.5475087
Prefeitura Municipal de Jundiá - AL,2703908,4249,22713105.51,0,0,164594.15,0,0,5306.7808,3000,6
Prefeitura Municipal de Lagoa da Canoa - AL,2704104,18256,79602096.31999999,0,90000,66558.66,0,6187.5,4351.4106,3000,6
Prefeitura Municipal de Limoeiro de Anadia - AL,2704203,28793,69889872.26000001,0,0,31737.4,0,57112.01,2424.2358,2424.2358,5.0821047
Prefeitura Municipal de Maceió - AL,2704302,1021709,2355567743.44,0,84578.11,126918192,1786748.76,1833477.51,2177.6697,2177.6697,4.6890235
Prefeitura Municipal de Major Isidoro - AL,2704401,20126,59029542.56,0,0,569417.4,0,0,2904.7065,2904.7065,5.8480811
Prefeitura Municipal de Maragogi - AL,2704500,32568,97107812.36,0,0,1377760.1,0,42849.74,2938.0742,2938.0742,5.9012766
Prefeitura Municipal de Maravilha - AL,2704609,9588,36072056.73,0,0,862340.67,0,0,3672.269,3000,6
Prefeitura Municipal de Marechal Deodoro - AL,2704708,51715,277868936.9,0,0,625421.51,0,414997.51,5352.9639,3000,6
Prefeitura Municipal de Maribondo - AL,2704807,13587,36226892.05,0,0,520942.31,0,0,2627.9495,2627.9495,5.4068689
Prefeitura Municipal de Mar Vermelho - AL,2704906,3600,18513907.84,0,0,177409.71,0,162.43,5093.4268,3000,6
Prefeitura Municipal de Mata Grande - AL,2705002,25589,63275337.83,0,0,899504.46,0,17390.55,2436.9238,2436.9238,5.1023321
Prefeitura Municipal de Matriz de Camaragibe - AL,2705101,25010,65849828.34,0,0,2032762.11,0,43335.4,2549.9292,2549.9292,5.2824874
Prefeitura Municipal de Messias - AL,2705200,17789,64790506.87,0,0,964016.3199999999,0,66046.77,3584.2625,3000,6
Prefeitura Municipal de Minador do Negrão - AL,2705309,5419,26151206.5,426919.53,0,510675.07,0,0,4652.8164,3000,6
Prefeitura Municipal de Monteirópolis - AL,2705408,7251,25896453.88,0,0,143491.33,0,0,3551.6428,3000,6
Prefeitura Municipal de Murici - AL,2705507,28579,72225683.59,0,17005,705621.74,0,0,2501.9441,2501.9441,5.2059889
Prefeitura Municipal de Novo Lino - AL,2705606,12735,36509721.16,0,0,0,0,78366.17999999999,2860.7268,2860.7268,5.7779679
Prefeitura Municipal de Olho d'Água das Flores - AL,2705705,21706,60064463.34,0,0,475258.02,0,0,2745.2874,2745.2874,5.5939317
Prefeitura Municipal de Olho d'Água do Casado - AL,2705804,9381,31741798.92,0,0,60971.92,0,0,3377.127,3000,6
Prefeitura Municipal de Olho d'Água Grande - AL,2705903,5187,22997364.17,0,0,110527.85,0,0,4412.3457,3000,6
Prefeitura Municipal de Olivença - AL,2706000,11731,47170857.04,0,0,239045.62,0,4201.79,4000.3076,3000,6
Prefeitura Municipal de Ouro Branco - AL,2706109,11589,35757898.48,0,0,286297.29,0,0,3060.7991,3000,6
Prefeitura Municipal de Palestina - AL,2706208,5036,21145247.39,0,0,54185.77,0,34405.93,4181.2261,3000,6
Prefeitura Municipal de Palmeira dos Índios - AL,2706307,74049,257183958.82,0,0,3923517.42,0,13995.7,3419.9846,3000,6
Prefeitura Municipal de Pão de Açúcar - AL,2706406,24834,75187800.44,0,0,705144.86,260400,0,2988.7354,2988.7354,5.9820418
Prefeitura Municipal de Pariconha - AL,2706422,10674,31387919.39,0,0,518542.34,0,9809.42,2891.0969,2891.0969,5.8263845
Prefeitura Municipal de Paripueira - AL,2706448,13076,45531369.46,0,0,247302.58,0,0,3463.1438,3000,6
Prefeitura Municipal de Passo de Camaragibe - AL,2706505,15441,53668360.01,0,0,370249.4,0,0,3451.7266,3000,6
Prefeitura Municipal de Paulo Jacinto - AL,2706604,7680,26007218.67,0,0,751400.61,0,467002.39,3227.7104,3000,6
Prefeitura Municipal de Penedo - AL,2706703,64292,201027372.23,0,0,2072394.12,0,726910.03,3083.2463,3000,6
Prefeitura Municipal de Piaçabuçu - AL,2706802,18043,45523446.5,0,0,455658.92,0,0,2497.7991,2497.7991,5.1993809
Prefeitura Municipal de Pilar - AL,2706901,35428,184818625.01,0,0,3087265.41,0,32843.97,5128.6699,3000,6
Prefeitura Municipal de Pindoba - AL,2707008,2954,17083445.38,0,36548.71,162535.54,0,3690.02,5714.5127,3000,6
Prefeitura Municipal de Piranhas - AL,2707107,25130,91333750.23,0,0,1415681.37,0,353433.17,3564.0522,3000,6
Prefeitura Municipal de Poço das Trincheiras - AL,2707206,14535,43101181.95,0,0,479002.19,0,92.90000000000001,2932.3762,2932.3762,5.8921928
Prefeitura Municipal de Porto Calvo - AL,2707305,27398,71645313.98999999,0,0,458988.98,0,49301.7,2596.4312,2596.4312,5.3566222
Prefeitura Municipal de Porto de Pedras - AL,2707404,8055,35114258.2,0,0,127972,0,0,4343.4248,3000,6
Prefeitura Municipal de Porto Real do Colégio - AL,2707503,20268,44931618.61,0,0,439318.01,0,125997.75,2188.9827,2188.9827,4.7070589
Prefeitura Municipal de Quebrangulo - AL,2707602,11542,47497795.92,0,0,199608.42,0,456000,4058.4116,3000,6
Prefeitura Municipal de Rio Largo - AL,2707701,75688,167431961.26,0,0,0,0,0,2212.1335,2212.1335,4.7439666
Prefeitura Municipal de Roteiro - AL,2707800,6788,43594585.99,0,0,0,0,0,6422.3022,3000,6
Prefeitura Municipal de Santa Luzia do Norte - AL,2707909,7357,26606771.52,0,0,703654.45,0,2784.01,3520.502,3000,6
Prefeitura Municipal de Santana do Ipanema - AL,2708006,48033,137587368.42,0,0,1080145.38,0,165520.56,2838.5007,2838.5007,5.7425346
Prefeitura Municipal de Santana do Mundaú - AL,2708105,10952,38394686.53,0,113260,205260.9,0,0,3476.6404,3000,6
Prefeitura Municipal de São Brás - AL,2708204,7046,22437893.87,0,0,182333.25,0,7313.61,3157.5713,3000,6
Prefeitura Municipal de São José da Laje - AL,2708303,24140,72004740.72,0,0,383930.17,0,18907.77,2966.1104,2966.1104,5.9459724
Prefeitura Municipal de São José da Tapera - AL,2708402,32455,144109201.99,5073119.55,9442758.92,0,0,0,3993.0156,3000,6
Prefeitura Municipal de São Luís do Quitunde - AL,2708501,34798,126105207.88,0,0,343229.8,0,0,3614.0576,3000,6
Prefeitura Municipal de São Miguel dos Campos - AL,2708600,61204,211781638.68,0,0,1766478.67,0,320932.1,3426.1523,3000,6
Prefeitura Municipal de São Miguel dos Milagres - AL,2708709,7951,29735752.14,0,0,32863.62,0,6851.63,3734.8809,3000,6
Prefeitura Municipal de São Sebastião - AL,2708808,34387,90017784.61,0,48388.99,395676.15,0,0,2604.8716,2604.8716,5.3700781
Prefeitura Municipal de Satuba - AL,2708907,13824,40106952.12,0,0,656737.42,0,236965.5,2836.6067,2836.6067,5.7395148
Prefeitura Municipal de Senador Rui Palmeira - AL,2708956,13974,43382742.89,0,0,802716.51,0,374.42,3047.0625,3000,6
Prefeitura Municipal de Tanque d'Arca - AL,2709004,6293,22121481.99,0,0,441717.09,0,0,3445.0603,3000,6
Prefeitura Municipal de Taquarana - AL,2709103,20097,68008762.45,0,40000,1593240.94,0,184146.62,3293.5947,3000,6
Prefeitura Municipal de Traipu - AL,2709202,27938,64407528.23,0,0,568070.78,0,19299.98,2284.3496,2284.3496,4.8590951
Prefeitura Municipal de União dos Palmares - AL,2709301,66255,159253259.93,0,0,4561125.05,0,0,2334.7993,2334.7993,4.9395232
Prefeitura Municipal de Viçosa - AL,2709400,26176,93125801.42,0,47100,807705.86,0,124378.9,3520.271,3000,6
Prefeitura Municipal de Amparo de São Francisco - SE,2800100,2382,17172561.46,0,0,379353.93,0,0,7050.0449,3000,6
Prefeitura Municipal de Aquidabã - SE,2800209,21452,51418018.11,0,241000.01,1064621.47,0,5908.45,2335.749,2335.749,4.9410372
Prefeitura Municipal de Aracaju - SE,2800308,641523,2107574219.52,21327600.36,87000,13919993.74,0,5486662.04,3221.635,3000,6
Prefeitura Municipal de Arauá - SE,2800407,10467,29722835.87,0,0,396536.21,0,0,2801.7866,2801.7866,5.6840038
Prefeitura Municipal de Areia Branca - SE,2800506,18329,53571428.41,0,76450,77579.55,0,0,2914.3652,2914.3652,5.8634791
Prefeitura Municipal de Barra dos Coqueiros - SE,2800605,29248,136432626.4,0,0,3539818.29,0,0,4543.6548,3000,6
Prefeitura Municipal de Boquim - SE,2800670,26856,58896534.59,0,0,930814.24,0,0,2158.3899,2158.3899,4.6582875
Prefeitura Municipal de Brejo Grande - SE,2800704,8271,32714688.12,0,19300,432772.14,0,0,3900.6912,3000,6
Prefeitura Municipal de Campo do Brito - SE,2801009,17986,48358741.47,0,200196.57,44311.36,0,0,2675.0935,2675.0935,5.4820271
Prefeitura Municipal de Canhoba - SE,2801108,4057,18789087.78,0,0,282715.8,0,0,4561.5903,3000,6
Prefeitura Municipal de Canindé de São Francisco - SE,2801207,28832,104943574.07,0,0,0,0,0,3639.8298,3000,6
Prefeitura Municipal de Capela - SE,2801306,33715,96713711.78,0,0,536374.15,443230,0,2839.5107,2839.5107,5.7441444
Prefeitura Municipal de Carira - SE,2801405,21665,53642583.45,0,0,0,0,0,2476.002,2476.002,5.1646314
Prefeitura Municipal de Carmópolis - SE,2801504,15952,79467594.04000001,0,0,3084700.78,0,0,4788.2959,3000,6
Prefeitura Municipal de Cedro de São João - SE,2801603,5912,21121672.78,0,0,330858.48,720715,0,3394.8071,3000,6
Prefeitura Municipal de Cristinápolis - SE,2801702,18092,55656756.8,0,0,833890.95,0,0,3030.2271,3000,6
Prefeitura Municipal de Cumbe - SE,2801900,3999,18195973.9,0,241100,26380.3,0,0,4483.2441,3000,6
Prefeitura Municipal de Divina Pastora - SE,2802007,4975,41847625.17,0,0,978934.1,0,0,8214.8125,3000,6
Prefeitura Municipal de Estância - SE,2802106,68846,224428636.03,0,0,1308805.46,0,0,3240.854,3000,6
Prefeitura Municipal de Feira Nova - SE,2802205,5595,21446619.75,0,0,221929.9,0,0,3793.5103,3000,6
Prefeitura Municipal de Frei Paulo - SE,2802304,15200,40241869.59,0,0,702624.4399999999,0,0,2601.2661,2601.2661,5.3643298
Prefeitura Municipal de Gararu - SE,2802403,11730,30342656.11,0,151000,21077.34,0,0,2572.0869,2572.0869,5.317812
Prefeitura Municipal de General Maynard - SE,2802502,3274,16981968.58,0,0,165027.16,0,0,5136.5122,3000,6
Prefeitura Municipal de Gracho Cardoso - SE,2802601,5859,20326789.38,0,0,157135.47,0,0,3442.5078,3000,6
Prefeitura Municipal de Ilha das Flores - SE,2802700,8604,30848566.04,0,0,0,0,0,3585.375,3000,6
Prefeitura Municipal de Indiaroba - SE,2802809,17600,47793065.71,0,0,1785832.22,0,0,2614.0474,2614.0474,5.384706
Prefeitura Municipal de Itabaiana - SE,2802908,94393,199471899.17,0,0,2253315.41,0,0,2089.335,2089.335,4.5481987
Prefeitura Municipal de Itabaianinha - SE,2803005,41686,97787874.87,0,0,1040911.6,668320,0,2304.8181,2304.8181,4.8917265
Prefeitura Municipal de Itabi - SE,2803104,5002,18924214.43,0,0,0,0,0,3783.3296,3000,6
Prefeitura Municipal de Itaporanga d'Ajuda - SE,2803203,33713,113722451.53,0,0,2098072.48,0,0,3311.0188,3000,6
Prefeitura Municipal de Japaratuba - SE,2803302,18474,87329210.62,0,0,2032253.37,0,0,4617.1353,3000,6
Prefeitura Municipal de Japoatã - SE,2803401,13242,36313991.62,0,0,677452.61,0,0,2691.175,2691.175,5.5076647
Prefeitura Municipal de Lagarto - SE,2803500,103188,211385301.66,0,68594.75999999999,2552744.57,0,0,2023.1418,2023.1418,4.4426723
Prefeitura Municipal de Laranjeiras - SE,2803609,29418,107596119.7,0,0,435712.18,0,0,3642.6816,3000,6
Prefeitura Municipal de Macambira - SE,2803708,6873,22596976.5,0,62000,0,0,0,3278.7686,3000,6
Prefeitura Municipal de Malhada dos Bois - SE,2803807,3673,19940695.49,0,0,353372.1,0,0,5332.7861,3000,6
Prefeitura Municipal de Malhador - SE,2803906,12645,32134785.69,0,0,602862.96,0,0,2493.6277,2493.6277,5.1927304
Prefeitura Municipal de Maruim - SE,2804003,17225,67921352.31999999,0,0,1227758,0,0,3871.9067,3000,6
Prefeitura Municipal de Moita Bonita - SE,2804102,11416,31121623.47,0,69600,548137.54,0,0,2672.0293,2672.0293,5.4771423
Prefeitura Municipal de Monte Alegre de Sergipe - SE,2804201,15017,34797473.23,0,0,661606.51,0,0,2273.1482,2273.1482,4.8412375
Prefeitura Municipal de Muribeca - SE,2804300,7662,25973274.93,0,0,183677.91,0,0,3365.9092,3000,6
Prefeitura Municipal de Neópolis - SE,2804409,18956,48430752.27,0,0,468524.74,0,0,2530.1873,2530.1873,5.2510147
Prefeitura Municipal de Nossa Senhora Aparecida - SE,2804458,8850,24647791.75,0,0,594444.49,0,0,2717.8923,2717.8923,5.5502582
Prefeitura Municipal de Nossa Senhora da Glória - SE,2804508,36174,90849525.18000001,0,0,0,0,0,2511.4592,2511.4592,5.221158
Prefeitura Municipal de Nossa Senhora das Dores - SE,2804607,26434,72642765.95999999,0,0,767406.35,0,528603.12,2699.0525,2699.0525,5.5202231
Prefeitura Municipal de Nossa Senhora de Lourdes - SE,2804706,6512,20841432.17,0,0,0,0,0,3200.4656,3000,6
Prefeitura Municipal de Nossa Senhora do Socorro - SE,2804805,179661,320173594.35,0,316850,6427239.51,0,0,1744.5607,1744.5607,3.9985521
Prefeitura Municipal de Pacatuba - SE,2804904,14293,57106565.13,0,0,502499.77,557.52,0,3960.2258,3000,6
Prefeitura Municipal de Pedra Mole - SE,2805000,3227,17463617.3,0,0,113577.68,0,0,5376.5229,3000,6
Prefeitura Municipal de Pedrinhas - SE,2805109,9523,25804684.93,0,0,360949.34,0,0,2671.8193,2671.8193,5.4768076
Prefeitura Municipal de Pinhão - SE,2805208,6499,20954419.68,0,0,144563.08,0,0,3202.009,3000,6
Prefeitura Municipal de Pirambu - SE,2805307,9153,42912368.91,0,0,0,0,0,4688.3394,3000,6
Prefeitura Municipal de Poço Redondo - SE,2805406,34147,74621235.95999999,0,0,2438559.27,0,0,2113.8804,2113.8804,4.5873294
Prefeitura Municipal de Poço Verde - SE,2805505,23580,55032155.43,0,0,1052299.83,0,0,2289.2219,2289.2219,4.8668628
Prefeitura Municipal de Porto da Folha - SE,2805604,28615,63713940.96,0,0,1235280.53,0,0,2183.4233,2183.4233,4.6981964
Prefeitura Municipal de Propriá - SE,2805703,29745,61856075.06,0,0,862690.0699999999,0,0,2050.5425,2050.5425,4.4863548
Prefeitura Municipal de Riachão do Dantas - SE,2805802,19995,48202346.26,0,0,62761.01,0,0,2407.5811,2407.5811,5.055553
Prefeitura Municipal de Riachuelo - SE,2805901,10116,46059873.97,0,0,378815.54,0,0,4515.7236,3000,6
Prefeitura Municipal de Ribeirópolis - SE,2806008,18503,45837838.8,0,134900,996115.75,0,0,2416.1931,2416.1931,5.0692825
Prefeitura Municipal de Rosário do Catete - SE,2806107,10533,62517478.46,0,0,0,0,0,5935.3916,3000,6
Prefeitura Municipal de Salgado - SE,2806206,20126,48928639.82,0,0,0,0,0,2431.116,2431.116,5.0930729
Prefeitura Municipal de Santa Luzia do Itanhy - SE,2806305,13936,46098144.5,0,0,1079448.79,0,0,3230.3887,3000,6
Prefeitura Municipal de Santana do São Francisco - SE,2806404,7680,23420832.07,0,0,0,0,0,3049.5874,3000,6
Prefeitura Municipal de Santa Rosa de Lima - SE,2806503,3926,20176984.1,0,0,4545.58,0,0,5138.1655,3000,6
Prefeitura Municipal de Santo Amaro das Brotas - SE,2806602,12086,28861010.32,0,0,846739.11,0,0,2317.9109,2317.9109,4.9125991
Prefeitura Municipal de São Cristóvão - SE,2806701,88118,126773037.53,0,0,2599180.58,0,281724.32,1405.9799,1405.9799,3.4587793
Prefeitura Municipal de São Domingos - SE,2806800,11053,27045385.19,0,0,0,0,0,2446.8818,2446.8818,5.1182075
Prefeitura Municipal de São Francisco - SE,2806909,3916,17823042.96,0,35400,175308.39,0,162898.21,4455.9336,3000,6
Prefeitura Municipal de São Miguel do Aleixo - SE,2807006,3923,19094533.65,0,0,26565.48,0,0,4860.5576,3000,6
Prefeitura Municipal de Simão Dias - SE,2807105,40684,90023451.56999999,0,0,1107116.26,0,0,2185.5356,2185.5356,4.7015638
Prefeitura Municipal de Siriri - SE,2807204,8765,43979616.41,0,0,690785.8,96506.49000000001,0,4927.8179,3000,6
Prefeitura Municipal de Telha - SE,2807303,3196,16863917.03,0,0,21378.32,0,0,5269.8809,3000,6
Prefeitura Municipal de Tobias Barreto - SE,2807402,51770,95128748.84999999,0,0,1940931.26,0,0,1800.0352,1800.0352,4.0869908
Prefeitura Municipal de Tomar do Geru - SE,2807501,13204,38247056.31,0,0,263855.61,0,29082.43,2874.4409,2874.4409,5.7998309
Prefeitura Municipal de Umbaúba - SE,2807600,24832,60380973.49,0,0,0,0,0,2431.5791,2431.5791,5.0938115
Prefeitura Municipal de Abaíra - BA,2900108,9212,21619504.77,0,0,546019.72,0,0,2287.6123,2287.6123,4.8642964
Prefeitura Municipal de Abaré - BA,2900207,19939,49100549.3,0,0,366704.7,0,0,2444.147,2444.147,5.1138473
Prefeitura Municipal de Acajutiba - BA,2900306,15764,39542549.12,0,0,610324.71,0,0,2469.6919,2469.6919,5.1545715
Prefeitura Municipal de Adustina - BA,2900355,17254,38113279.54,0,0,321286.77,0,0,2190.3323,2190.3323,4.7092104
Prefeitura Municipal de Água Fria - BA,2900405,17431,43696403.07,0,0,793586.41,0,0,2461.2939,2461.2939,5.1411834
Prefeitura Municipal de Érico Cardoso - BA,2900504,11405,28659784.73,0,0,429152.36,0,0,2475.2856,2475.2856,5.1634893
Prefeitura Municipal de Aiquara - BA,2900603,4745,17505582.74,0,0,482701.75,0,20809.83,3583.155,3000,6
Prefeitura Municipal de Alagoinhas - BA,2900702,155362,408327153.43,18967722.56,155000,12768381.66,0,972526.0600000001,2416.7012,2416.7012,5.0700927
Prefeitura Municipal de Alcobaça - BA,2900801,23331,61313265.5,0,0,877504.7,0,0,2590.363,2590.363,5.3469481
Prefeitura Municipal de Almadina - BA,2900900,6062,19474529.71,0,0,555750.86,0,0,3120.8806,3000,6
Prefeitura Municipal de Amargosa - BA,2901007,38041,71086642.2,0,58400,623662.97,0,0,1850.7552,1850.7552,4.1678495
Prefeitura Municipal de Amélia Rodrigues - BA,2901106,26424,62294794.84,0,0,1220907.24,0,0,2311.3037,2311.3037,4.9020658
Prefeitura Municipal de América Dourada - BA,2901155,16781,38148948.87,0,115947,262714.22,0,0,2250.7769,2250.7769,4.8055725
Prefeitura Municipal de Anagé - BA,2901205,19824,40908561.3,0,0,2104196.57,0,0,1957.4437,1957.4437,4.3379345
Prefeitura Municipal de Andaraí - BA,2901304,13732,39487634.46,0,0,752489.33,0,8559.700000000001,2820.1709,2820.1709,5.7133126
Prefeitura Municipal de Andorinha - BA,2901353,15551,46642583.71,0,0,521473.6,0,0,2965.7971,2965.7971,5.9454732
Prefeitura Municipal de Angical - BA,2901403,14707,53242792.86,0,136480,280481.68,0,9269.620000000001,3591.2532,3000,6
Prefeitura Municipal de Anguera - BA,2901502,11402,26563455.15,0,0,426874.32,0,0,2292.2803,2292.2803,4.8717384
Prefeitura Municipal de Antas - BA,2901601,19382,36737408.95,0,89673,755983.79,0,0,1851.8085,1851.8085,4.169529
Prefeitura Municipal de Antônio Cardoso - BA,2901700,12200,31209899.72,0,0,615344.08,0,0,2507.7505,2507.7505,5.2152452
Prefeitura Municipal de Antônio Gonçalves - BA,2901809,11989,30327914.44,0,0,462560.42,0,0,2491.063,2491.063,5.188642
Prefeitura Municipal de Aporá - BA,2901908,19223,42885131.45,0,0,162404.78,0,0,2222.4797,2222.4797,4.7604609
Prefeitura Municipal de Apuarema - BA,2901957,7745,24391824.8,0,0,391805.7,0,0,3098.7759,3000,6
Prefeitura Municipal de Aracatu - BA,2902005,14023,35021999.48,0,0,433670.13,0,0,2466.5427,2466.5427,5.1495509
Prefeitura Municipal de Araças - BA,2902054,12495,52650985.63,0,0,0,0,0,4213.7642,3000,6
Prefeitura Municipal de Araci - BA,2902104,55637,110417382.96,0,0,1335167.46,0,0,1960.6056,1960.6056,4.3429756
Prefeitura Municipal de Aramari - BA,2902203,11385,33580463.29,0,0,400728.76,0,0,2914.3376,2914.3376,5.8634353
Prefeitura Municipal de Arataca - BA,2902252,11697,29307677.57,0,0,232492.35,0,0,2485.696,2485.696,5.1800857
Prefeitura Municipal de Aratuípe - BA,2902302,9150,21369615.2,0,0,164541.23,0,60162.45,2310.9192,2310.9192,4.901453
Prefeitura Municipal de Aurelino Leal - BA,2902401,12891,34186267.16,0,0,1350897.64,0,0,2547.1545,2547.1545,5.2780643
Prefeitura Municipal de Baianópolis - BA,2902500,14262,39712246.79,0,113800,625545.79,0,0,2732.6392,2732.6392,5.5737677
Prefeitura Municipal de Baixa Grande - BA,2902609,21393,61916435.85,0,0,749332.9399999999,0,0,2859.2112,2859.2112,5.7755513
Prefeitura Municipal de Banzaê - BA,2902658,13738,36122878.29,0,131100,815808.75,0,0,2560.4868,2560.4868,5.2993188
Prefeitura Municipal de Barra - BA,2902708,54563,121293670.9,0,0,769956.54,0,57446.24,2207.8381,2207.8381,4.7371187
Prefeitura Municipal de Barra da Estiva - BA,2902807,22232,53297974.52,0,0,1000862.89,0,0,2352.335,2352.335,4.9674788
Prefeitura Municipal de Barra do Choça - BA,2902906,34421,84970606.04000001,0,0,1401963.65,0,88871.55,2425.2571,2425.2571,5.0837326
